funcao,dim,best_f,F,CR
sphere,30,1.2966266875348413e-21,0.40317438080020757,0.8866908042910753
sphere,50,1.0404850234262767e-12,0.40130156825698143,0.9000506080656907
sphere,100,0.0006132661032429688,0.4021606684403392,0.8447790473269293
rosenbrock,30,18.714287171404372,0.45890941982388866,0.8710430866325862
rosenbrock,50,33.64349208486743,0.48791327950041385,0.9798259217816534
rosenbrock,100,95.81574253333909,0.40029035951298925,0.7493082670200694
sum_squares,30,4.9160424065438597e-23,0.40029201092401023,0.9344972520365182
sum_squares,50,3.80666346058299e-13,0.40291512571926746,0.9130188885648465
sum_squares,100,0.00018332635282730772,0.4011713959648346,0.8710756693045667
dixon_price,30,0.6666666666666665,0.40225931220795996,0.9348132016753377
dixon_price,50,0.6666666668755259,0.401284055845993,0.8480858313646336
dixon_price,100,1.669042803840291,0.41936939280901125,0.869539335841445
zakharov,30,0.0019145518246516523,0.407192908289271,0.9306011349645167
zakharov,50,10.59532773585247,0.4752019565184167,0.95770971436473
zakharov,100,273.44855578208404,0.46879416285742603,0.9817829083498325
rastrigin,30,7.804355109780488,0.47346262209728057,0.10002481284081244
rastrigin,50,113.65618865907663,0.40959929911205994,0.12193909819238385
rastrigin,100,88.8676775930544,0.4226429437253827,0.9729188669457949
ackley,30,7.976286298116975e-12,0.40216041278470904,0.9133485964616688
ackley,50,3.939735191416105e-07,0.4011882977317842,0.9094095157722087
ackley,100,0.00499026652309853,0.4003218162055611,0.8424475706529739
griewank,30,0.0,0.41014916488454584,0.7936625772072324
griewank,50,1.1416423362220485e-12,0.40030620703103137,0.8859258739061213
griewank,100,0.0003459858344669886,0.40111055030390363,0.8511649950268624
schwefel,30,0.0003834691451629624,0.4238367446015956,0.10306625190601919
schwefel,50,2612.7568697375245,1.3098524706023105,0.10039314781659238
schwefel,100,13766.911452914806,0.4226429437253827,0.9729188669457949
levy,30,3.9109741045616917e-25,0.40094920911178367,0.9129807964679882
levy,50,1.1230383204612076e-14,0.41643281813068006,0.9158553372892424
levy,100,1.9888133510103962e-06,0.41594783647364086,0.8617134610974178
