funcao,dim,best_f,comm_prob,tau
sphere,30,1.0657630823419558e-35,0.8778172061096983,0.4616450736019781
sphere,50,2.2178374238046318e-24,0.8965459467854869,0.4739507122239692
sphere,100,6.69099947195124e-15,0.8995332349738686,0.4787025135785394
rosenbrock,30,1.3501048121122436,0.40471435181314624,0.4486371912731162
rosenbrock,50,8.81889811738311,0.5609629711454908,0.47909546867360553
rosenbrock,100,89.70718153620669,0.8922601426814639,0.2834326319456196
sum_squares,30,1.3322836378812572e-37,0.899779137518844,0.46987956006399545
sum_squares,50,2.455333870360945e-24,0.8988163365953671,0.41719171660255167
sum_squares,100,3.515315395072289e-16,0.8996294675761101,0.49331003272941687
dixon_price,30,0.6666666666666669,0.7422286900728078,0.4646735284010304
dixon_price,50,0.6666666666673081,0.87408184972365,0.2629972946546007
dixon_price,100,0.6666666774054529,0.8610809156572797,0.4982484436997869
zakharov,30,3.4403799389957044e-12,0.8685926581836766,0.33175411616908407
zakharov,50,1.130655291107703e-06,0.899528410788549,0.22894278418875127
zakharov,100,0.16819025586033715,0.8985674675334483,0.23857841649438155
rastrigin,30,17.90925924089646,0.5181127998665521,0.4946307101728963
rastrigin,50,51.755335606185554,0.3381296958483963,0.47298461913750445
rastrigin,100,116.59878818343918,0.7536193142530795,0.38151156616523874
ackley,30,2.1760371282653068e-14,0.8104470969603014,0.33539768480742455
ackley,50,3.269278936457454e-08,0.7754993986088973,0.3242720615933728
ackley,100,1.1706419389412304e-08,0.8998207355060279,0.4521709734889975
griewank,30,0.0,0.5808920093945671,0.3686326600082205
griewank,50,0.0,0.7828330413589037,0.27183972077172947
griewank,100,1.6653345369377348e-15,0.8998640853406993,0.44526196783212296
schwefel,30,1573.2033444584868,0.14847412346776415,0.4987574062431315
schwefel,50,5337.298690985181,0.21325064635862678,0.4012930817374195
schwefel,100,14391.08363635041,0.3301016197855016,0.13011287072296002
levy,30,4.658827962403569e-29,0.8356826483260823,0.21644082499721146
levy,50,5.097758645292598e-15,0.8075699620228882,0.4781518147838325
levy,100,2.6829482963287657e-07,0.8726151079057307,0.2599614660513953
